R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2
4.923072,139.604953,175.853024,191.800726,207.748427,209.667487,0.452910286,0.0825767472,0.221686,0.242826966,201.385508,148.133754,186.675854,193.451869
4.9383623,139.51192,175.773715,191.713055,207.652395,209.533794,0.45279905,0.0826886578,0.221803978,0.242708314,201.257096,148.035037,186.671935,193.395258
4.9537002,139.416605,175.691825,191.622704,207.553582,209.396739,0.452686213,0.0828011895,0.221922375,0.242590223,201.125455,147.933899,186.666175,193.336231
4.9690856,139.318986,175.607328,191.529646,207.451963,209.256288,0.452571776,0.082914343,0.222041188,0.242472694,200.990552,147.830316,186.658558,193.274766
4.9845188,139.219038,175.520195,191.433855,207.347515,209.112406,0.452455738,0.0830281218,0.222160418,0.242355722,200.852353,147.724262,186.649067,193.210839
5,139.116736,175.430395,191.335304,207.240212,209.030555,0.452338101,0.0831425287,0.222280066,0.242239304,200.710823,147.615711,186.637682,193.144426
5.0133991,139.068022,175.380679,191.276819,207.17296,208.990958,0.452235293,0.0832417697,0.222383658,0.242139279,200.620219,147.56402,186.644978,193.107838
5.0268342,139.017897,175.329247,191.216498,207.103749,208.949531,0.452131294,0.0833414821,0.222487561,0.242039662,200.527398,147.510833,186.650991,193.06956
5.0403052,138.966351,175.276086,191.154327,207.032567,208.90626,0.452026107,0.0834416662,0.222591773,0.241940455,200.432344,147.456138,186.655709,193.029577
5.0538124,138.913369,175.221179,191.090289,206.959398,208.861128,0.451919729,0.083542325,0.222696294,0.241841653,200.335036,147.399919,186.659123,192.987875
5.0673557,138.858941,175.16451,191.024369,206.884227,208.814119,0.451812163,0.0836434585,0.222801123,0.241743256,200.235454,147.342166,186.661223,192.944439
5.0809354,138.803052,175.106064,190.956552,206.80704,208.76522,0.451703408,0.0837450698,0.222906261,0.241645261,200.133578,147.282863,186.661997,192.899256
5.0945514,138.745693,175.045824,190.886823,206.727821,208.714412,0.451593466,0.083847159,0.223011707,0.241547668,200.029389,147.222,186.661435,192.85231
5.1082039,138.686849,174.983774,190.815165,206.646555,208.661682,0.451482338,0.0839497285,0.22311746,0.241450474,199.922866,147.159561,186.659526,192.803587
5.1218931,138.626507,174.919898,190.741563,206.563227,208.607012,0.451370022,0.0840527804,0.223223521,0.241353677,199.813988,147.095532,186.656259,192.753072
5.1356188,138.564655,174.854179,190.666001,206.477823,208.550387,0.451256522,0.084156314,0.223329886,0.241257278,199.702736,147.029902,186.651624,192.70075
5.1493814,138.50128,174.7866,190.588462,206.390324,208.491789,0.451141837,0.0842603333,0.223436559,0.241161271,199.589086,146.962655,186.645609,192.646606
5.1631809,138.436368,174.717143,190.50893,206.300716,208.431202,0.451025967,0.0843648389,0.223543537,0.241065657,199.473018,146.893777,186.638203,192.590623
5.1770173,138.369906,174.645793,190.427389,206.208985,208.36861,0.450908915,0.0844698316,0.22365082,0.240970433,199.354512,146.823255,186.629395,192.532788
5.1908908,138.301881,174.57253,190.343821,206.115113,208.303996,0.450790681,0.0845753137,0.223758407,0.240875599,199.233544,146.751074,186.619173,192.473085
5.2048015,138.232277,174.497337,190.25821,206.019084,208.237342,0.450671265,0.0846812868,0.223866297,0.240781151,199.110093,146.677218,186.607526,192.411496
5.2187495,138.161084,174.420196,190.17054,205.920883,208.168631,0.450550669,0.0847877522,0.223974491,0.240687087,198.984137,146.601675,186.594443,192.348007
5.2327349,138.088284,174.341089,190.08079,205.820492,208.097845,0.450428894,0.0848947115,0.224082988,0.240593407,198.855652,146.524428,186.579911,192.282601
5.2467577,138.013865,174.259997,189.988947,205.717897,208.024968,0.45030594,0.0850021655,0.224191785,0.240500109,198.724617,146.445463,186.563919,192.215263
5.2608181,137.968391,174.216797,189.956184,205.695571,207.968874,0.45018181,0.0851101163,0.224300883,0.240407191,198.704695,146.39721,186.560079,192.163432
