scenario,label,s,chi2_radial,chi2_vertical,chi2_total,chi2_nu,chi2_nu_free_sR_sz,delta_chi2
fig2b_46,qcopula_46,2.220886860721529,419.41249562556595,166.5934588584233,586.0059544839893,3.0051587409435347,2.847147597881738,33.6593204949321
fig2b_47,qcopula_47,2.1799104663998605,644.6160347355196,403.06793960301576,1047.6839743385353,5.372738329941207,3.660775222239154,337.49358122413946
fig2b_48,qcopula_48,2.4871710080382226,442.6060052544401,97.85304014927895,540.4590454037191,2.7715848482242005,2.660069333530234,24.405594698853633
fig2b_49,qcopula_49,2.401518448239136,312.01404092110977,167.99100113005144,480.00504205116124,2.4615643182110833,2.2147534153346697,50.34287947623534
fig2b_50,qcopula_50,2.0857559656466576,807.4125969475903,154.90714975391515,962.3197467015054,4.93497306000772,4.958432518347448,0.3838381421005579
fig2b_51,qcopula_51,2.3675633873733113,596.8587535308454,96.63465373826254,693.4934072691079,3.556376447533887,3.5380350698415017,7.114603719856632
fig2b_52,qcopula_52,2.2362966496512025,552.314578034933,83.08711195281882,635.4016899877518,3.2584702050653935,3.27518283804306,0.01621940739812544
fig2b_53,qcopula_53,1.833940417542941,607.965177232874,142.12448349997632,750.0896607328503,3.846613644783848,3.5688560581316553,57.73158545530919
fig2b_54,qcopula_54,1.821718003381404,591.5593731936286,152.6337089715014,744.19308216513,3.8163747803340002,3.4869709702968903,67.72071392753332
fig2b_55,qcopula_55,2.233726304626192,358.81520693982,212.88896220137812,571.7041691411981,2.9318162520061444,2.3484831651916336,116.09843509402117
fig2b_56,qcopula_56,1.8359760611994047,746.6538955526435,112.53194612603086,859.1858416786744,4.4060812393778175,4.293887498075986,26.17166705193324
fig2b_57,qcopula_57,2.1524455198204264,455.83292339920877,148.98871784049152,604.8216412397003,3.1016494422548733,2.7427612740138216,72.72595408101893
fig2b_58,qcopula_58,2.050644109823131,374.557566876465,228.7396754918302,603.2972423682952,3.0938320121451035,2.4862607883132526,120.96264943552421
fig2b_59,qcopula_59,2.2948554157842342,895.5540681394363,116.84762002953897,1012.4016881689752,5.1918035290716675,5.1935453471564585,4.853890820622155
fig2b_60,qcopula_60,2.0349466119072788,1249.1637238309982,55.84382417871805,1305.0075480097162,6.692346400049827,6.708254550506233,3.6061652115070046
fig2b_61,qcopula_61,1.9984153041253303,665.2157597945297,80.92174299280613,746.1375027873358,3.826346168140184,3.835310035564323,2.0873558878572567
fig2b_62,qcopula_62,2.1012633401268386,994.1077062628171,87.67424483280793,1081.7819510956251,5.5475997492083335,5.565009561171517,2.170096228350758
fig2b_63,qcopula_63,2.0653771023228154,946.662297005739,59.914444566935884,1006.5767415726749,5.1619320080649995,5.1877039296945195,0.1621792119381098
fig2b_64,qcopula_64,1.7953354684041105,641.7890809778344,127.85996355422948,769.6490445320638,3.946918177087507,3.761570033847298,39.90445796568804
