type,dataset,source_paper,tracer,method,R_kpc,z_kpc,vc_kms,sigma_vc_kms,Phi_kms2,sigma_Phi_kms2,sigma_z_kpc,in_chi2_fit
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,20.27,,203.301,3.15,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,20.78,,198.14,3.33,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,20.78,,201.635,3.33,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,21.24,,195.3,5.99,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,21.24,,198.811,5.99,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,21.8,,213.67,15.38,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,21.8,,217.425,15.38,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,22.14,,176.97,28.58,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,22.14,,180.357,28.58,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,22.73,,193.11,27.64,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,22.73,,196.755,27.64,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,23.66,,176.63,18.67,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,23.66,,180.188,18.67,,,,True
radial,Eilers2019_original_Gaia,Eilers et al. 2019,APOGEE/Gaia giants,published circular speed,24.82,,198.42,6.5,,,,False
radial,Eilers2019_McGaugh2019_adjusted,Eilers et al. 2019; McGaugh 2019,APOGEE/Gaia giants,McGaugh-adjusted circular speed,24.82,,202.332,6.5,,,,True
radial,Feng2026_Cepheids,Feng et al. 2026,Gaia DR3 classical Cepheids,binned circular speed,6.58,,242.92,1.25,,,,True
radial,Feng2026_Cepheids,Feng et al. 2026,Gaia DR3 classical Cepheids,binned circular speed,7.49,,239.31,1.33,,,,True
radial,Feng2026_Cepheids,Feng et al. 2026,Gaia DR3 classical Cepheids,binned circular speed,8.48,,236.54,0.86,,,,True
radial,Feng2026_Cepheids,Feng et al. 2026,Gaia DR3 classical Cepheids,binned circular speed,9.5,,232.36,1.32,,,,True
radial,Feng2026_Cepheids,Feng et al. 2026,Gaia DR3 classical Cepheids,binned circular speed,10.52,,229.97,1.13,,,,True
radial,Feng2026_Cepheids,Feng et al. 2026,Gaia DR3 classical Cepheids,binned circular speed,11.42,,233.57,1.39,,,,True
radial,Feng2026_Cepheids,Feng et al. 2026,Gaia DR3 classical Cepheids,binned circular speed,12.5,,233.38,1.3,,,,True
radial,Feng2026_Cepheids,Feng et al. 2026,Gaia DR3 classical Cepheids,binned circular speed,13.5,,237.05,1.53,,,,True
radial,Feng2026_Cepheids,Feng et al. 2026,Gaia DR3 classical Cepheids,binned circular speed,14.46,,237.11,1.31,,,,True
