R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,weight_Barros2016_MI,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2,center_Barros2016_MI
1.8535565,158.672611,171.578687,180.75482,189.930953,234.005079,0.7,0.03,0.1,0.15,0.02,179.353816,168.366301,174.612624,188.691563,219.558153
1.8593134,158.669399,171.578089,180.744731,189.911374,233.841736,0.7,0.03,0.1,0.15,0.02,179.324218,168.362893,174.691038,188.731268,219.404894
1.8650882,158.664625,171.575631,180.732791,189.889951,233.674489,0.7,0.03,0.1,0.15,0.02,179.292605,168.357827,174.768463,188.769514,219.247972
1.8708808,158.658272,171.571293,180.718983,189.866674,233.503302,0.7,0.03,0.1,0.15,0.02,179.25896,168.351086,174.844887,188.806285,219.087354
1.8766915,158.650328,171.56505,180.703287,189.841524,233.328126,0.7,0.03,0.1,0.15,0.02,179.22326,168.342656,174.920305,188.841569,218.922993
1.8825202,158.640775,171.556883,180.685688,189.814492,233.148926,0.7,0.03,0.1,0.15,0.02,179.185488,168.33252,174.994704,188.875352,218.754856
1.8883671,158.6296,171.546768,180.666165,189.785562,232.965653,0.7,0.03,0.1,0.15,0.02,179.145623,168.320662,175.068079,188.90762,218.582898
1.8942321,158.616787,171.534682,180.644701,189.754721,232.77827,0.7,0.03,0.1,0.15,0.02,179.103646,168.307066,175.140416,188.93836,218.407084
1.9001153,158.60232,171.520601,180.621278,189.721954,232.586733,0.7,0.03,0.1,0.15,0.02,179.059535,168.291715,175.211708,188.967556,218.227372
1.9060167,158.586184,171.504502,180.595876,189.687249,232.390999,0.7,0.03,0.1,0.15,0.02,179.013271,168.274594,175.281944,188.995195,218.043722
1.9119365,158.568364,171.486361,180.568476,189.650591,232.191019,0.7,0.03,0.1,0.15,0.02,178.964833,168.255685,175.351115,189.021263,217.856088
1.9178747,158.548843,171.466153,180.539059,189.611966,231.986748,0.7,0.03,0.1,0.15,0.02,178.914198,168.234971,175.419213,189.045745,217.664429
1.9238313,158.527605,171.443854,180.507606,189.571359,231.778145,0.7,0.03,0.1,0.15,0.02,178.861347,168.212436,175.486225,189.068626,217.468704
1.9298065,158.504633,171.419437,180.474097,189.528758,231.565155,0.7,0.03,0.1,0.15,0.02,178.806257,168.188061,175.552144,189.089893,217.268864
1.9358002,158.479913,171.392879,180.438513,189.484147,231.34774,0.7,0.03,0.1,0.15,0.02,178.748908,168.16183,175.616958,189.109529,217.064871
1.9418125,158.453426,171.364151,180.400832,189.437513,231.125848,0.7,0.03,0.1,0.15,0.02,178.689276,168.133725,175.680657,189.127519,216.856679
1.9478434,158.425156,171.333229,180.361035,189.388841,230.899434,0.7,0.03,0.1,0.15,0.02,178.62734,168.103728,175.743231,189.143848,216.644243
1.9538932,158.395085,171.300085,180.3191,189.338116,230.668438,0.7,0.03,0.1,0.15,0.02,178.563076,168.07182,175.804672,189.158502,216.427508
1.9599617,158.363197,171.264691,180.275009,189.285326,230.432822,0.7,0.03,0.1,0.15,0.02,178.496463,168.037984,175.864966,189.171464,216.206438
1.966049,158.329474,171.227021,180.228738,189.230455,230.192532,0.7,0.03,0.1,0.15,0.02,178.427477,168.002201,175.924104,189.182719,215.980983
1.9721553,158.293899,171.187044,180.180266,189.173488,229.947512,0.7,0.03,0.1,0.15,0.02,178.356094,167.964452,175.982076,189.192251,215.75109
1.9782805,158.256453,171.144734,180.129573,189.114412,229.697715,0.7,0.03,0.1,0.15,0.02,178.282291,167.924719,176.03887,189.200043,215.516715
