dataset,source_paper,tracer,method,R_kpc,R_err_kpc,vc_kms,sigma_v_kms,mass_msun,sigma_mass_msun,kind,plotted,used_in_fit,note
"McClureDickey2016_Q1_terminal","McClure-Griffiths & Dickey 2016","H I terminal velocities","binned terminal curve; n=34",7.4132944,,237.61316,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=4",2.8317705,,216.84748,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=17",2.9245143,,217.00653,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=17",3.0738128,,215.83401,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=18",3.2262339,,222.01101,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=17",3.3773303,,222.85683,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=18",3.527018,,220.3857,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=17",3.6752552,,219.4125,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=18",3.8219537,,220.07401,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=19",3.9753101,,224.36239,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=18",4.1268413,,230.34713,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=19",4.2764451,,232.48432,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=19",4.4280317,,227.48881,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=19",4.5774604,,226.41181,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=19",4.724652,,227.50316,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=20",4.8732988,,229.27534,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=20",5.0231669,,229.00096,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=19",5.1712514,,227.51052,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=21",5.3253576,,225.76183,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=21",5.473592,,223.17383,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=22",5.6219558,,227.58347,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=23",5.7734506,,231.80459,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=23",5.9242372,,234.64355,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=18",6.0822307,,239.75092,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=25",6.2250948,,243.5219,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=26",6.3770891,,244.67018,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=24",6.5216241,,239.78553,3.4184561,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=27",6.6767826,,241.43388,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=29",6.8245914,,246.53006,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=31",6.974048,,246.232,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=33",7.1240939,,248.1229,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=36",7.2747639,,248.87749,3.0437199,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=39",7.4252299,,247.12711,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=42",7.5729208,,246.03101,3,,,"direct_rotation",true,true,""
"McClureDickey2007_Q4_terminal","McClure-Griffiths & Dickey 2007","H I terminal velocities","binned terminal curve; n=10",7.6641894,,245.74741,3,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",5.27,,226.83,5.262487,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",5.27,,224.07,5.262487,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",5.74,,230.8,5.05919,,,"direct_rotation",true,false,""
