R_kpc,Baryonic_target_p5,Baryonic_target_p16,Baryonic_target_p50,Baryonic_target_p84,Baryonic_target_p95,Baryonic target_min,Baryonic target_max
1.8081387,166.837111,171.29847,180.803688,190.915934,206.44218,166.837111,206.44218
1.8137545,166.848917,171.304056,180.819409,190.820919,206.390245,166.848917,206.390245
1.8193877,166.859115,171.30788,180.833472,190.723452,206.335897,166.859115,206.335897
1.8250385,166.867689,171.309927,180.84586,190.623569,206.279113,166.867689,206.279113
1.8307068,166.874621,171.310177,180.856548,190.521312,206.219874,166.874621,206.219874
1.8363927,166.879893,171.308617,180.865522,190.416716,206.158156,166.879893,206.158156
1.8420962,166.883487,171.305227,180.87276,190.318365,206.093938,166.883487,206.093938
1.8478175,166.885385,171.299991,180.878242,190.326093,206.027195,166.885385,206.027195
1.8535565,166.885568,171.292889,180.881949,190.331744,205.957908,166.885568,205.957908
1.8593134,166.88402,171.283906,180.88386,190.335296,205.886051,166.88402,205.886051
1.8650882,166.88072,171.27302,180.883955,190.336723,205.811601,166.88072,205.811601
1.8708808,166.875649,171.260217,180.882215,190.336006,205.734539,166.875649,205.734539
1.8766915,166.868787,171.240565,180.878616,190.333116,205.654834,166.868787,205.654834
1.8825202,166.860116,171.217644,180.873142,190.328036,205.572468,166.860116,205.572468
1.8883671,166.849616,171.192652,180.865768,190.320738,205.487413,166.849616,205.487413
1.8942321,166.837266,171.165572,180.856475,190.311201,205.399648,166.837266,205.399648
1.9001153,166.823044,171.136384,180.845243,190.2994,205.309146,166.823044,205.309146
1.9060167,166.806932,171.105071,180.832047,190.285312,205.215885,166.806932,205.215885
1.9119365,166.788908,171.071613,180.816868,190.268914,205.119838,166.788908,205.119838
1.9178747,166.768949,171.03599,180.799684,190.250182,205.020978,166.768949,205.020978
1.9238313,166.747036,170.998184,180.780473,190.229091,204.919281,166.747036,204.919281
1.9298065,166.723145,170.958172,180.759214,190.205619,204.814721,166.723145,204.814721
1.9358002,166.697255,170.915937,180.735883,190.179741,204.707272,166.697255,204.707272
1.9418125,166.669342,170.871456,180.710458,190.151434,204.596908,166.669342,204.596908
1.9478434,166.639384,170.824709,180.682918,190.079957,204.483602,166.639384,204.483602
1.9538932,166.607358,170.775674,180.653237,189.981847,204.367324,166.607358,204.367324
1.9599617,166.573239,170.724328,180.621397,189.88174,204.248052,166.573239,204.248052
1.966049,166.537004,170.670652,180.58737,189.77964,204.125756,166.537004,204.125756
1.9721553,166.498628,170.61462,180.551134,189.675551,204.000406,166.498628,204.000406
1.9782805,166.458086,170.556212,180.501515,189.569482,203.871977,166.458086,203.871977
1.9844247,166.415355,170.495403,180.44939,189.461437,203.74044,166.415355,203.74044
1.990588,166.370408,170.43217,180.394983,189.351421,203.605764,166.370408,203.605764
1.9967705,166.323218,170.366487,180.33827,189.23944,203.467921,166.323218,203.467921
2.0029722,166.314982,170.344699,180.328132,189.176435,203.392017,166.314982,203.392017
2.0091931,166.350038,170.371666,180.369579,189.167369,203.384681,166.350038,203.384681
2.0154334,166.383767,170.3972,180.40963,189.156977,203.375332,166.383767,203.375332
2.021693,166.416156,170.421288,180.448273,189.145266,203.363951,166.416156,203.363951
2.0279721,166.447192,170.443922,180.485497,189.132239,203.350519,166.447192,203.350519
2.0342706,166.476861,170.46509,180.521286,189.117902,203.335018,166.476861,203.335018
2.0405888,166.505151,170.485419,180.555631,189.102259,203.317428,166.505151,203.317428
2.0469265,166.532046,170.510848,180.588516,189.085313,203.297731,166.532046,203.297731
2.053284,166.557535,170.534781,180.61993,189.06707,203.275905,166.557535,203.275905
2.0596612,166.581602,170.557204,180.649858,189.047533,203.251933,166.581602,203.251933
2.0660582,166.604234,170.578104,180.67829,189.026707,203.225795,166.604234,203.225795
2.072475,166.625416,170.597468,180.705208,189.004594,203.197469,166.625416,203.197469
2.0789118,166.645136,170.615283,180.730602,188.981198,203.166936,166.645136,203.166936
2.0853686,166.663376,170.631535,180.754457,188.956523,203.134175,166.663376,203.134175
2.0918455,166.680124,170.646209,180.776759,188.945682,203.099166,166.680124,203.099166
2.0983424,166.695364,170.659292,180.797494,188.95112,203.061887,166.695364,203.061887
2.1048596,166.709081,170.670769,180.816649,188.969385,203.022317,166.709081,203.022317
2.1113969,166.72126,170.680627,180.834208,188.986031,202.980436,166.72126,202.980436
2.1179546,166.731884,170.688848,180.850158,189.001044,202.936222,166.731884,202.936222
2.1245327,166.74094,170.695422,180.864483,189.014409,202.889651,166.74094,202.889651
2.1311311,166.748411,170.700331,180.877169,189.026111,202.840704,166.748411,202.840704
2.1377501,166.754282,170.703562,180.888203,189.036135,202.789357,166.754282,202.789357
2.1443896,166.758534,170.705096,180.897566,189.044467,202.735587,166.758534,202.735587
2.1510498,166.761154,170.704922,180.905246,189.05109,202.679372,166.761154,202.679372
2.1577306,166.762124,170.703022,180.911228,189.055991,202.620689,166.762124,202.620689
2.1644322,166.761427,170.699379,180.915494,189.059153,202.559515,166.761427,202.559515
2.1711546,166.759046,170.693978,180.918031,189.060561,202.495826,166.759046,202.495826
2.1778979,166.754965,170.686804,180.918821,189.0602,202.429598,166.754965,202.429598
2.1846621,166.749165,170.677838,180.91785,189.058053,202.360807,166.749165,202.360807
2.1914474,166.741629,170.667066,180.915099,189.054106,202.289428,166.741629,202.289428
