arm,color,label,lw,segment,x_disp,y_disp
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.0873666,-10.30115
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.1000799,-10.289764
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.1127318,-10.278298
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.1253218,-10.266754
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.1378495,-10.255131
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.1503142,-10.24343
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.1627156,-10.231651
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.1750531,-10.219794
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.1873263,-10.207861
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.1995347,-10.195851
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.2116778,-10.183764
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.2237551,-10.171601
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.2357662,-10.159363
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.2477106,-10.147049
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.2595879,-10.13466
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.2713975,-10.122197
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.283139,-10.109659
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.2948119,-10.097047
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.3064158,-10.084362
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.3179502,-10.071603
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.3294147,-10.058772
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.3408088,-10.045868
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.352132,-10.032892
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.363384,-10.019845
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.3745641,-10.006726
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.3856721,-9.9935366
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.3967075,-9.9802765
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.4076697,-9.9669464
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.4185584,-9.9535466
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.4293732,-9.9400775
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.4401136,-9.9265395
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.4507791,-9.912933
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.4613694,-9.8992585
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.4718839,-9.8855163
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.4823224,-9.8717069
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.4926843,-9.8578306
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.5029692,-9.843888
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.5131767,-9.8298793
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.5233065,-9.8158052
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.533358,-9.8016659
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.5433308,-9.7874619
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.5532246,-9.7731937
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.563039,-9.7588616
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.5727735,-9.7444662
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.5824277,-9.7300078
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.5920012,-9.715487
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.6014937,-9.7009041
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.6109047,-9.6862595
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.6202338,-9.6715539
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.6294807,-9.6567875
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.638645,-9.6419609
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.6477262,-9.6270746
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.656724,-9.6121289
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.665638,-9.5971243
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.6744678,-9.5820614
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.6832131,-9.5669406
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.6918734,-9.5517623
